code_fap_341,intitule_fap_341,code_fap_228,intitule_fap_228,code_fap_86,intitule_fap_86,code_fap_22,intitule_fap_22
E2X40,Ouvriers qualifiés des industries chimiques et plastiques,E2X40,Ouvriers qualifiés des industries chimiques et plastiques,E2X,Ouvriers des industries chimiques et plastiques,E,Industries de process
E3X20,Ouviers peu qualifiés des industries agro-alimentaires,E3X20,Ouviers peu qualifiés des industries agro-alimentaires,E3X,Ouvriers des industries agro-alimentaires,E,Industries de process
E3X40,Ouviers qualifiés des industries agro-alimentaires,E3X40,Ouviers qualifiés des industries agro-alimentaires,E3X,Ouvriers des industries agro-alimentaires,E,Industries de process
E4X30,"Ouvriers en conduite d’équipement de fabrication de pâte à papier, de papier et de carton et de panneaux de bois",E4X30,"Ouvriers en conduite d’équipement de fabrication de pâte à papier, de papier et de carton et de panneaux de bois",E4X,Autres ouvriers des industries de process,E,Industries de process
E4X32a,"Ouvriers peu qualifiés du conditionnement, du tri et de l'emballage",E4X32,"Ouvriers du conditionnement, du tri et de l'emballage",E4X,Autres ouvriers des industries de process,E,Industries de process
E4X32b,"Ouvriers qualifiés du conditionnement, du tri et de l'emballage",E4X32,"Ouvriers du conditionnement, du tri et de l'emballage",E4X,Autres ouvriers des industries de process,E,Industries de process
E5X70a,Techniciens des industries de process,E5X70,Techniciens des industries de process,E5X,Techniciens et agents de maîtrise des industries de process,E,Industries de process
E5X70c,Techniciens intervention technique en laboratoire d'analyse industrielle et en formulation et analyse sensorielle,E5X70,Techniciens des industries de process,E5X,Techniciens et agents de maîtrise des industries de process,E,Industries de process
E5X80, Agents de maitrise et assimilés des industries de process,E5X80, Agents de maitrise et assimilés des industries de process,E5X,Techniciens et agents de maîtrise des industries de process,E,Industries de process
F0X30,"Ouvriers, techniciens et agents de maîtrise en traitement du cuir",F0X30,"Ouvriers, techniciens et agents de maîtrise en traitement du cuir",F0X,"Ouvriers, techniciens et agents de maîtrise du textile et du cuir",F,"Matériaux souples, bois, industries graphiques"
F0X32,"Ouvriers, techniciens et agents de maîtrise du textile",F0X32,"Ouvriers, techniciens et agents de maîtrise du textile",F0X,"Ouvriers, techniciens et agents de maîtrise du textile et du cuir",F,"Matériaux souples, bois, industries graphiques"
F0X33,"Ouvriers, techniciens et agents de maîtrise de l'habillement",F0X33,"Ouvriers, techniciens et agents de maîtrise de l'habillement",F0X,"Ouvriers, techniciens et agents de maîtrise du textile et du cuir",F,"Matériaux souples, bois, industries graphiques"
F1X30,Ouvriers de la réalisation d'ouvrages décoratifs et meubles en bois,F1X30,Ouvriers de la réalisation d'ouvrages décoratifs et meubles en bois,F1X,Ouvriers et techniciens du travail du bois et de l'ameublement,F,"Matériaux souples, bois, industries graphiques"
F1X31a,"Ouvriers peu qualifiés de la scierie, de l'assemblage et de la fabrication d'ouvrages en bois",F1X31,"Ouvriers et techniciens de la scierie, de l'assemblage et de la fabrication d'ouvrages en bois",F1X,Ouvriers et techniciens du travail du bois et de l'ameublement,F,"Matériaux souples, bois, industries graphiques"
F1X31b,"Ouvriers qualifiés et techniciens de la scierie, de l'assemblage et de la fabrication d'ouvrages en bois",F1X31,"Ouvriers et techniciens de la scierie, de l'assemblage et de la fabrication d'ouvrages en bois",F1X,Ouvriers et techniciens du travail du bois et de l'ameublement,F,"Matériaux souples, bois, industries graphiques"
F2X30a,Ouvriers de l'imprimerie,F2X30,"Ouvriers, techniciens et agents de maîtrise de l'imprimerie",F2X,"Ouvriers, techniciens et agents de maîtrise des industries graphiques",F,"Matériaux souples, bois, industries graphiques"
F2X30b,Techniciens et agents de maîtrise de l'imprimerie,F2X30,"Ouvriers, techniciens et agents de maîtrise de l'imprimerie",F2X,"Ouvriers, techniciens et agents de maîtrise des industries graphiques",F,"Matériaux souples, bois, industries graphiques"
G0A40a,Ouvriers en réparation - montage en systèmes horlogers,G0A40,Ouvriers de la maintenance générale et mécanique,G0A,Ouvriers qualifiés de la maintenance,G,Maintenance
G0A40b,Ouvriers en maintenance générale et mécanique industrielle,G0A40,Ouvriers de la maintenance générale et mécanique,G0A,Ouvriers qualifiés de la maintenance,G,Maintenance
G0A40c,"Ouvriers en installation maintenance en nautisme, mécanique de marine et aéronefs",G0A40,Ouvriers de la maintenance générale et mécanique,G0A,Ouvriers qualifiés de la maintenance,G,Maintenance
G0A41,Ouvriers de la maintenance en électricité et en électronique,G0A41,Ouvriers de la maintenance en électricité et en électronique,G0A,Ouvriers qualifiés de la maintenance,G,Maintenance
G0A43,Ouvriers polyvalents d'entretien du bâtiment,G0A43,Ouvriers polyvalents d'entretien du bâtiment,G0A,Ouvriers qualifiés de la maintenance,G,Maintenance
G0B40a,Ouvriers peu qualifiés en réparation de carrosserie ,G0B40,Carrossiers automobiles,G0B,Ouvriers de la réparation automobile,G,Maintenance
G0B40b,Ouvriers qualifiés en réparation de carrosserie,G0B40,Carrossiers automobiles,G0B,Ouvriers de la réparation automobile,G,Maintenance
G0B41a,"Ouvriers peu qualifiés en maintenance d'engins de chantier, de levage, manutention et agricoles",G0B41,Ouvriers mécaniciens de véhicules,G0B,Ouvriers de la réparation automobile,G,Maintenance
G0B41b,Ouvriers peu qualifiés en mécanique automobile,G0B41,Ouvriers mécaniciens de véhicules,G0B,Ouvriers de la réparation automobile,G,Maintenance
G0B41c,"Ouvriers qualifiés en Réparation de cycles, motocycles et motoculteurs de loisirs",G0B41,Ouvriers mécaniciens de véhicules,G0B,Ouvriers de la réparation automobile,G,Maintenance
G0B41d,"Ouvriers qualifiés en Maintenance d'engins de chantier, de levage, manutention et agricoles",G0B41,Ouvriers mécaniciens de véhicules,G0B,Ouvriers de la réparation automobile,G,Maintenance
G0B41e,Ouvriers qualifiés en Mécanique automobile,G0B41,Ouvriers mécaniciens de véhicules,G0B,Ouvriers de la réparation automobile,G,Maintenance
G1X70,Techniciens et agents de maîtrise en intervention technique en Hygiène Sécurité Environnement -HSE industriel et protection du patrimoine naturel,G1X70,Techniciens et agents de maîtrise en intervention technique en Hygiène Sécurité Environnement -HSE industriel et protection du patrimoine naturel,G1X,Techniciens et agents de maîtrise de la maintenance,G,Maintenance
G1X71a,"Techniciens et agents de maîtrise en mécanique automobile, réparation de cycles, motocycles et motoculteurs de loisirs",G1X71,Techniciens et agents de maîtrise en maintenance de véhicules,G1X,Techniciens et agents de maîtrise de la maintenance,G,Maintenance
G1X71c,"Techniciens et agents de maîtrise en Maintenance d'engins de chantier, de levage, manutention et agricoles",G1X71,Techniciens et agents de maîtrise en maintenance de véhicules,G1X,Techniciens et agents de maîtrise de la maintenance,G,Maintenance
G1X72a,Techniciens et agents de maîtrise en maintenance mécanique et entretien d'équipements industriels,G1X72,Techniciens et agents de maîtrise en maintenance générale et mécanique industrielle,G1X,Techniciens et agents de maîtrise de la maintenance,G,Maintenance
G1X72b,"Techniciens et agents de maîtrise en maintenance en nautisme, mécanique de marine et aéronefs",G1X72,Techniciens et agents de maîtrise en maintenance générale et mécanique industrielle,G1X,Techniciens et agents de maîtrise de la maintenance,G,Maintenance
G1X74,Techniciens et agents de maîtrise en installation et maintenance en froid et conditionnement d'air,G1X74,Techniciens et agents de maîtrise en installation et maintenance en froid et conditionnement d'air,G1X,Techniciens et agents de maîtrise de la maintenance,G,Maintenance
G1X75,Techniciens et agents de maîtrise en assistance et support technique client et en installation et maintenance télécoms et courants faibles,G1X75,Techniciens et agents de maîtrise en assistance et support technique client et en installation et maintenance télécoms et courants faibles,G1X,Techniciens et agents de maîtrise de la maintenance,G,Maintenance
G1X76,Mainteniciens en biens électrodomestiques,G1X76,Mainteniciens en biens électrodomestiques,G1X,Techniciens et agents de maîtrise de la maintenance,G,Maintenance
G1X77a,Techniciens et agents de maîtrise en maintenance électrique,G1X77,"Techniciens et agents de maîtrise en maintenance électrique, électronique et automatismes",G1X,Techniciens et agents de maîtrise de la maintenance,G,Maintenance
G1X77b,Techniciens et agents de maîtrise en Installation et maintenance électronique,G1X77,"Techniciens et agents de maîtrise en maintenance électrique, électronique et automatismes",G1X,Techniciens et agents de maîtrise de la maintenance,G,Maintenance
G1X77c,"Techniciens et agents de maîtrise en études, conception et maintenance d'automatismes",G1X77,"Techniciens et agents de maîtrise en maintenance électrique, électronique et automatismes",G1X,Techniciens et agents de maîtrise de la maintenance,G,Maintenance
G1X78,Techniciens et agents de maîtrise en distribution et assainissement d'eau et gestion des déchets,G1X78,Techniciens et agents de maîtrise en distribution et assainissement d'eau et gestion des déchets,G1X,Techniciens et agents de maîtrise de la maintenance,G,Maintenance
H0X40a,Ouvriers qualifiés du contrôle qualité,H0X40,Ouvriers qualifiés du contrôle qualité et de laboratoire,H0X,Techniciens et ouvriers du contrôle qualité et du dessin industriel,H,"Ingénieurs, cadres et agents des fonctions transverses de l'industrie"
H0X40b,Agents qualifiés de laboratoire,H0X40,Ouvriers qualifiés du contrôle qualité et de laboratoire,H0X,Techniciens et ouvriers du contrôle qualité et du dessin industriel,H,"Ingénieurs, cadres et agents des fonctions transverses de l'industrie"
H0X90,Techniciens du contrôle qualité,H0X90,Techniciens du contrôle qualité,H0X,Techniciens et ouvriers du contrôle qualité et du dessin industriel,H,"Ingénieurs, cadres et agents des fonctions transverses de l'industrie"
H0X91,Techniciens du dessin industriel,H0X91,Techniciens du dessin industriel,H0X,Techniciens et ouvriers du contrôle qualité et du dessin industriel,H,"Ingénieurs, cadres et agents des fonctions transverses de l'industrie"
H0X92,"Techniciens et agents de maîtrise de la logistique, du planning, de l'ordonnancement et méthodes en industrialisation",H0X92,"Techniciens et agents de maîtrise de la logistique, du planning, de l'ordonnancement et méthodes en industrialisation",H0X,Techniciens et ouvriers du contrôle qualité et du dessin industriel,H,"Ingénieurs, cadres et agents des fonctions transverses de l'industrie"
H1X90,Ingénieurs et cadres de fabrication et de la production,H1X90,Ingénieurs et cadres de fabrication et de la production,H1X,Ingénieurs et cadres techniques de l'industrie,H,"Ingénieurs, cadres et agents des fonctions transverses de l'industrie"
H1X91,Ingénieurs et cadres techniques en Hygiène Sécurité Environnement -HSE- industriels et exploitation éco-industriel,H1X91,Ingénieurs et cadres techniques en Hygiène Sécurité Environnement -HSE- industriels et exploitation éco-industriel,H1X,Ingénieurs et cadres techniques de l'industrie,H,"Ingénieurs, cadres et agents des fonctions transverses de l'industrie"
H1X92,Ingénieurs en maintenance et support technique client,H1X92,Ingénieurs en maintenance et support technique client,H1X,Ingénieurs et cadres techniques de l'industrie,H,"Ingénieurs, cadres et agents des fonctions transverses de l'industrie"
H1X93a,Ingénieurs et cadres technique en gestion industrielle et logistique,H1X93,"Ingénieurs des méthodes de production, du contrôle qualité",H1X,Ingénieurs et cadres techniques de l'industrie,H,"Ingénieurs, cadres et agents des fonctions transverses de l'industrie"
H1X93b,Ingénieurs et cadres techniques en Management et ingénierie méthodes et industrialisation,H1X93,"Ingénieurs des méthodes de production, du contrôle qualité",H1X,Ingénieurs et cadres techniques de l'industrie,H,"Ingénieurs, cadres et agents des fonctions transverses de l'industrie"
H1X93c,Ingénieurs et cadres techniques en management et ingénierie qualité industrielle et BTP,H1X93,"Ingénieurs des méthodes de production, du contrôle qualité",H1X,Ingénieurs et cadres techniques de l'industrie,H,"Ingénieurs, cadres et agents des fonctions transverses de l'industrie"
J0X30,Manutentionnaires et déménageurs peu qualifiés,J0X30,Manutentionnaires et déménageurs peu qualifiés,J0X,Ouvriers de la manutention,J,"Transports, logistique et tourisme"
J0X31,Manutentionnaires et déménageurs qualifiés,J0X31,Manutentionnaires et déménageurs qualifiés,J0X,Ouvriers de la manutention,J,"Transports, logistique et tourisme"
J0X32,"Conducteurs d’engins légers de déplacement de charges, cariste",J0X32,"Conducteurs d’engins légers de déplacement de charges, cariste",J0X,Ouvriers de la manutention,J,"Transports, logistique et tourisme"
J0X33,Magasiniers et préparateurs de commandes peu qualifiés,J0X33,Magasiniers et préparateurs de commandes peu qualifiés,J0X,Ouvriers de la manutention,J,"Transports, logistique et tourisme"
J0X34,Magasiniers et préparateurs de commande qualifiés,J0X34,Magasiniers et préparateurs de commande qualifiés,J0X,Ouvriers de la manutention,J,"Transports, logistique et tourisme"
J1X80,Responsable du magasinage et de la logistique (non cadres),J1X80,Responsable du magasinage et de la logistique (non cadres),J1X,Responsable magasinage,J,"Transports, logistique et tourisme"
J2X40,Facteurs et distributeurs de documents (non cadres),J2X40,Facteurs et distributeurs de documents (non cadres),J2X,Facteurs,J,"Transports, logistique et tourisme"
